Tema,Nombre,Personaje,Japones,Condición,Probabilidad,Sobrescribir si,Si_Dinero,Si_Gente,Si_Flora,Si_Fauna,Si_Aire,Extras_Si,Sobrescribe No,No_Dinero,No_Gente,No_Flora,No_Fauna,No_Aire,Extras_No,Explicacion Japones
Agricultura,¡Vivan los pesticidadas!,Faustino el agricultor,[農民: のうみん] たちは、 [農薬: のうやく] の [使用: しよう] には もっと [資金: しきん] が [必要: ひつよう] だと [考: かんが] えています。 あなたは どう [思: おも] いますか？,Evento fijo,50,,10,5,-10,-5,-5,,,-5,-5,,,10,,[農薬:のうやく]は[水漏:みずも]れや[人々:ひとびと]の[健康:けんこう]に[恐:おそ]ろしい[影響:えいきょう]を[与:あた]えます。
Agricultura,Necesidad de agua,Faustino el agricultor,このままでは [収穫: しゅうかく] が [枯: か]れてしまいます。[地下水: ちかすい] を [利用: りよう] する [必要: ひつよう] があります。,Evento fijo,50,,20,-5,-15,-15,-20,,,-5,10,,,,ficha sequia,[帯水層:たいすいそう]の[迂回:うかい]はその[地域:ちいき]に[干:かん]ばつを[引:ひ]き[起:お]こす[可能性:かのうせい]があります。
Agricultura,Riego por goteo,Paqui Jefa de Medio Ambiente,すべての[水: みず] を [活用: かつよう] するために、[点滴灌漑: てんてきかんがい] を [導入: どうにゅう] したいと [考: かんが]えていますが、[非常: ひじょう]に [高額: こうがく] です。,ficha sequia,,,-15,5,10,,,,,,,-10,,,,[可能:かのう]な[限:かぎ]りすべての[水:みず]を[使用:しよう]するタイプの[灌漑:かんがい]です。
Agricultura,Nuevas tierras,Faustino el agricultor,[以前: いぜん] の [土地: とち] は [農薬: のうやく] の [影響: えいきょう] で [過度: かど] に [有害: ゆうがい] で、[新: あたら]しい [土地: とち] が [必要: ひつよう] です。,ficha pesticidas,,Venga vale,-15,,-5,,-5,,Jamas,,-10,,,,,[農薬:のうやく]を[過剰:かじょう]に[使用:しよう]すると、[人間:にんげん]だけでなく[土壌:どじょう]にも[中毒:ちゅうどく]を[引:ひ]き[起:お]こす[可能性:かのうせい]があります。
Agricultura y Ganaderia,Plaga de conejos,Eli agente forestal,[ウサギ: うさぎ] が [多: おお]すぎる、[作物: さくもつ] を [荒: あ]らしてしまう、どうすればいいでしょうか？,,,Acabad con los conejos,,,,-25,,,No exagereis solo son animales,,,-25,,,,[害虫:がいちゅう]は[限定的:げんていてき]な[場合:ばあい]もあれば、[通:とお]り[道:みち]にあるすべてのものを[破壊:はかい]する[場合:ばあい]もあります。
Deforestacion,Limpieza de montes,Eli agente forestal,[火災: かさい] の [可能性: かのうせい] を [防: ふせ]ぐために[山: やま]を [伐採: ばっさい]しなければなりません。,Evento fijo,50,,-10,10,,,5,,,,,-5,,,,[火災:かさい]が[増加:ぞうか]しないように[森林伐採:しんりんばっさい]が[必要:ひつよう]な[場合:ばあい]もあります。 [木:き]は[動物:どうぶつ]ときれいな[空気:くうき]に[必要:ひつよう]です。
Deforestacion,No al maltrato de los bosques,Toni el activista,[森林破壊: しんりんはかい] にノー、[松かさ: まつかさ] や [自然要素: しぜんようそ] の [盗用: とうよう] をやめてください。,Evento fijo,50,,15,,-5,,,,,,-10,,,,,[何:なに]もしないのが[一番:いちばん]だと[思:おも]っていても、[人:ひと]の[手:て]が[役:やく]に[立:た]つこともあります。
Deforestacion,Cambio climático,Rodrigo el Biologo,[気候変動: きこうへんどう] は[大惨事: だいさんじ]を[引: ひ]き[起: お]こしており、[私:わたし]たちは[新: あたら]しい[気候:きこう]に[耐: た]えられる[木: き]を[植: う]えるべきです。,,,,-15,,15,,,,,,,-10,,,,[気候変動:きこうへんどう]は[大惨事:だいさんじ]を[引:ひ]き[起:お]こしており、[特定:とくさだ]の[場所:ばしょ]では[木:き]が[存続:そんぞく]できなくなり、[気候:きこう]に[耐性:たいせい]のある[新:あたら]しい[種:たね]で[森林:しんりん]を[再植:さいうえ]する[必要:ひつよう]があります。
Energia eolica,Viva el aire ,Paqui Jefa de Medio Ambiente,[この地域: このちいき] にエネルギー[生成用:せいせいよう]の[風力: ふうりょく]タービンをいくつか[設置:せっち]するのは[面白:おもしろ]いかもしれないと[思: おも]います。,Evento fijo,50,,15,5,-5,-10,,ficha eolica,,,-10,5,5,,,クリーンなエネルギー[源:げん]ですが、それにかかる[費用:ひよう]と[死:し]ぬ[鳥:とり]の[数:かず]を[考:かんが]えると[十分:じゅうぶん]なのでしょうか?
Energia eolica,Molinillos,Rodrigo el Biologo,[人々: ひとびと] は[風車: ふうしゃ]の[設置:せっち]を[望:のぞ]んでいます。[種: たね]の[保存: ほぞん]にとっては[良:よ]くないと[思: おも]います。,Evento fijo,50,Tienes razon pasamos de los molinos,,-10,5,5,,,Vamos a probar,15,5,-5,-10,,ficha eolica,クリーンなエネルギー[源:げん]ですが、それにかかる[費用:ひよう]と[死:し]ぬ[鳥:とり]の[数:かず]を[考:かんが]えると[十分:じゅうぶん]なのでしょうか?
Energia eolica,Cambio de parque nacional a parque de molinos,Baltasar el empresario,[風力ー: ふうりょく]エネルギは[高: たか]い[利益: りえき]を[生: う]むようです。[国立公園: こくりつこうえん]を[風車: ふうしゃ]で[埋: う]め[尽: つく]くしたい。,ficha eolica,,,10,10,-10,-10,,,,-5,-5,,,,,[風力:ふうりょく]エネルギーは[化石燃料:かせきねんりょう]への[依存:いぞん]を[減:へ]らし、[地元:じもと]の[雇用:こよう]を[生:う]み[出:だ]します。 しかし、この[設置:せっち]は、[視覚的:しかくてき]および[環境:かんきょう]への[影響:えいきょう]のほか、[発生:はっせい]する[騒音:そうおん]や[偶発的:ぐうはつてき]な[鳥:とり]の[死:し]により[抵抗:ていこう]を[引:ひ]き[起:お]こす[可能性:かのうせい]があります。
Fabrica/Economia,Una construccion de fabricas 1,Baltasar el empresario,[最高: さいこう]に[清涼感: せいりょうかん]のあるドリンク、ポパポラ[工場:こうじょう]の[建設: けんせつ]を[提案: ていあん]します！,Evento fijo,50,,15,5,-5,-5,10,ficha empresa,,-10,-5,,,,,この[取:と]り[組:く]みは[地元:じもと]の[雇用:こよう]を[生:う]み[出:だ]し、[地域:ちいき]の[経済発展:けいざいはってん]に[貢献:こうけん]する[可能性:かのうせい]がある。 ただし、[飲料市場:いんりょうしじょう]における[競争:きょうそう]や[包装廃棄物:ほうそうはいきぶつ]の[管理:かんり]などの[潜在的:せんざいてき]な[課題:かだい]に[対処:たいしょ]する[必要:ひつよう]があります。
Fabrica/Economia,Una construccion de fabricas 2,Toni el activista,バルタサール[工場:こうじょう]に[融資: ゆうし]しないでください。[町: まち]の[川: かわ]が[影響: えいきょう]を[受: う]ける[可能性: かのうせい]があります。,Evento fijo,50,Venga va,-10,-5,,,,,No tiene importancia,15,5,-5,-5,,,この[取:と]り[組:く]みは[地元:じもと]の[雇用:こよう]を[生:う]み[出:だ]し、[地域:ちいき]の[経済発展:けいざいはってん]に[貢献:こうけん]する[可能性:かのうせい]がある。 ただし、[飲料市場:いんりょうしじょう]における[競争:きょうそう]や[包装廃棄物:ほうそうはいきぶつ]の[管理:かんり]などの[潜在的:せんざいてき]な[課題:かだい]に[対処:たいしょ]する[必要:ひつよう]があります。
,La poblacion crece,Laura la arquitecto,[街: まち]にはもう[部屋: へや]が[残: のこ]っていない！ [人口増加: じんこうぞうか]に[対応: たいおう]するために、[都市: とし]は[自然地域: しぜんちいき]への[拡張: かくちょう]を[許可: きょか]されるべきである。,ficha empresa,,,-10,20,-10,-5,-5,,,,-30,,,,,これは[地域経済:ちいきけいざい]を[刺激:しげき]し、[都市開発:としかいはつ]における[雇用:こよう]を[生:う]み[出:だ]す[可能性:かのうせい]がある。 しかし、この[行為:こうい]には[環境悪化:かんきょうあっか]や[自然生息地:しぜんせいそくち]の[喪失:そうしつ]などのデメリットも[伴:ともな]います。
Ganaderia,Ganaderia 1,Faustino el ganadero,[畜産: ちくさん]は[農村開発: のうそんかいはつ]において[重要: じゅうよう]な[役割: やくわり]を[果:は]たし、[大: おお]きな[経済機会: けいざいきかい]をもたらします。[私:わたし]のビジネスセルドス・ルラーレスに[資金: しきん]を[提供: ていきょう]してくれれば、[若: わか]いハムをごちそうします。,Evento fijo,33.33,A financiar,10,5,-10,-10,-5,,No finacies,-5,-5,5,5,5,,[皮革:ひかく]などの[副産物:ふくさんぶつ]の[生産:せいさん]も[畜産業:ちくさんぎょう]に[経済的価値:けいざいてきかち]をもたらします。[畜産:ちくさん]のための[森林伐採:しんりんばっさい]は[生物多様性:せいぶつたようせい]の[損失:そんしつ]につながります。
Ganaderia,Ganaderia 2,Toni el activista,ファウスティーノの[会社: かいしゃ]への[投資: とうし]は、[自然生息地: しぜんせいしつち]の[破壊: はかい]を[支援: しえん]し、[家畜: かちく]の[牧草地: ぼくそうち]に[道: みち]を[譲: ゆず]るための[森林伐採: しんりんばっさい]に[資金: しきん]を[提供: ていきょう]し、[動植物種: どうしょくぶつ]を[取:と]り[返:りかえ]しのつかない[故郷:ふるさと]の[喪失: そうしつ]に[追い込: おいこ]むことになる。,Evento fijo,33.33,No finacies,-5,-5,5,5,5,,No finacies,10,5,-10,-10,-5,,[皮革:ひかく]などの[副産物:ふくさんぶつ]の[生産:せいさん]も[畜産業:ちくさんぎょう]に[経済的価値:けいざいてきかち]をもたらします。[畜産:ちくさん]のための[森林伐採:しんりんばっさい]は[生物多様性:せいぶつたようせい]の[損失:そんしつ]につながります。
Ganaderia,Ganaderia 3,Rodrigo el Biologo,[畜産: ちくさん]は[温室効果: おんしつこうか]ガスの[主: おも]な[排出源: はいしゅつげん]の1つとして[認識: にんしき]されています。この[種:たね]の[企業: きぎょう]にはもう[融資: ゆうし]しないでください。,Evento fijo,33.33,No finacies,-5,-5,5,5,5,,A financiar,10,5,-10,-10,-5,,[皮革:ひかく]などの[副産物:ふくさんぶつ]の[生産:せいさん]も[畜産業:ちくさんぎょう]に[経済的価値:けいざいてきかち]をもたらします。[畜産:ちくさん]のための[森林伐採:しんりんばっさい]は[生物多様性:せいぶつたようせい]の[損失:そんしつ]につながります。
Energia Solar,Paneles solares 1,Laura la arquitecto,[再生可能:さいせいかのう]エネルギーを[利用:りよう]するために[町: まち]の[家:いえ]にソーラーパネル:を[設置: せっち]すべきです。,Evento fijo,,,-20,15,5,5,5,,,5,-10,-5,-5,-5,,この[措置:そち]は、[再生不可能:さいせいふかのう]な[資源:しげん]への[依存:いぞん]を[減:へ]らし、[温室効果:おんしつこうか]ガス[排出量:はいしゅつりょう]を[削減:さくげん]するのに[大:おお]きく[貢献:こうけん]するだろう。
Energia Solar,Paneles solares 2,Baltasar el empresario,[人々:ひとびと]は、ソーラーパネルを[設置: せっち]するという ローラのアイデアを[好:この]まない、[彼:かれ]らはそれが[非常:ひじょう]に[醜: みにく]いように[見:み]えると[言:い]います。,Evento fijo,,No quedan tan feos vamos a ponerlos,-20,-15,5,5,5,,No lo haremos entonces,,30,-5,-5,-5,,この[措置:そち]は、[再生不可能:さいせいふかのう]な[資源:しげん]への[依存:いぞん]を[減:へ]らし、[温室効果:おんしつこうか]ガス[排出量:はいしゅつりょう]を[削減:さくげん]するのに[大:おお]きく[貢献:こうけん]するだろう。
Turismo,De fiesta,Baltasar el empresario,あなたの[街: まち]に[観光: かんこう]と[人気: にんき]をもたらす[音楽: おんがく]フェスティバルを[開催: かいさい]したいと[考:かんが]えています。,,,,10,5,-5,-5,-5,,,-10,-5,5,5,5,,[音楽:おんがく]フェスティバルの[開催:かいさい]は、[観光誘致:かんこうゆうち]や[経済収入:けいざいしゅうにゅう]の[注入:ちゅうにゅう]など、[街:まち]の[認知度:にんちど]や[知名度:ちめいど]を[高:たか]めるなど、さまざまなメリットをもたらす[前向:まえむ]きな[取:と]り[組:く]みとなります。
Caza,Cazado,Faustino el cazador,[観光客:かんこうきゃく]を[惹: ひ]きつけ、[野生動物保護: やせいどうぶつほご]のための[収入: しゅうにゅう]を[得: え]るために、トロフィーハンティングを[許可: きょか]すべきでしょうか？,,,,5,,,-10,,,,-5,,,10,,,トロフィーハンティングは[収入:しゅうにゅう]を[生:う]み[出:だ]し、[喜:よろこ]んでお[金:かね]を[払:はら]う[観光客:かんこうきゃく]をもたらし、[高齢者:こうれいしゃ]や[特定:とくさだ]の[個体:こたい]を[選択:せんたく]することで[個体数管理:こたいすうかんり]に[貢献:こうけん]することができます。
Agricultura,Súper Cosechas,Rodrigo el Biologo,[私:わたし]は、[生産量: せいさんりょう]を[増:ふ]やし、[食料安全保障: しょくりょうあんぜんほしょう]を[確保:かくほ]するために、[作物:さくもつ]の[遺伝子組み換え: いでんしくみかえ]を[提案:ていあん]します。どう[思:おも]いますか？,,,,10,5,,,,,,-10,-5,,,,,ウィリアムの[返答:へんとう]
Educacion,A educar,Paqui Jefa de Medio Ambiente,[地元:じもと]の[学校: がっこう]に[環境: かんきょう]に[関:かん]する[教育: きょういく]プログラムを[組:く]み[込:こ]んで、[保全: ほぜん]の[重要性: じゅうようせい]について[住民: じゅうみん]の[意識: いしき]を[高:たか]めます。,,,,-10,,5,5,5,,,5,,-5,-5,-5,,ウィリアムの[返答:へんとう]
Ganaderia,Malditos lobitos,Faustino el ganadero,[私:わたし]たちはオオカミを[殺:ころ]さなければなりません、[彼:かれ]らは[畜牛: ちくぎゅう]を[食:た]べます。,,,Acabad con ellos,-10,10,,-15,,,Pobres animales,,-20,,,,,ウィリアムの[返答:へんとう]
Prevencion de incendios,Epoca de incendios 1,Paqui Jefa de Medio Ambiente,ファイアウォールの[作成: さくせい]を[検討:さくせい]する[必要: ひつよう]があります。[火事: かじ]が[起:お]きたときにとても[役:やく]に[立:た]ちます。,Evento fijo,,Ponte con ello,-15,5,,,,ficha cortafuegos,No le veo la utilidad,,-10,,,,no ficha cortafuegos,ウィリアムの[返答:へんとう]
Prevencion de incendios,Epoca de incendios 2,Paqui Jefa de Medio Ambiente,[防火活動:ぼうかかつどう]を[拡大:かくだい]すべきであり、[望楼: ぼうろう]を[建:た]てることもできる。,Evento fijo,,,-20,20,,,,,,10,-10,-10,,,,ウィリアムの[返答:へんとう]
Prevencion de incendios,Epoca de incendios 3,Baltasar el empresario,[私:わたし]たちは[消火活動: しょうかかつどう]に[多額:たがく]の[資金: しきん]を[費:つい]やしているのに[消防団: しょうぼうだん]は[何:なに]もしてくれません。その[地域: ちいき]の[隊員: たいいん]を[解雇:かいこ]すべきです。,Evento fijo,,Despidelos,10,-15,-5,,,,,-15,5,5,,,,ウィリアムの[返答:へんとう]
Prevencion de incendios,Incendio,Paqui Jefa de Medio Ambiente,[火:ひ]！ [火:ひ]！ [制御不能:せいぎょふのう]な[火災: かさい]が[発生:はっせい]しています、[私:わたし]たちがそれを[消:け]すのは[難:むずか]しいでしょう...,no ficha cortafuegos,,...,-20,-20,-20,-20,-20,,...,-20,-20,-20,-20,-20,,ウィリアムの[返答:へんとう]
Prevencion de incendios,Incendio con cortafuegos,Paqui Jefa de Medio Ambiente,さて、[問題:もんだい]が[発生:はっせい]しました。[火災:かさい]が[発生:はっせい]しています。 [幸:さいわ]いなことに、ファイアウォールが[制御:せいぎょ]に[役立:やくだ]っているということです。,ficha cortafuegos,,Esperemos que no sea nada...,-5,-5,-5,-5,-5,,Bueno dentro de lo malo...,-5,-5,-5,-5,-5,,ウィリアムの[返答:へんとう]
Prevencion de incendios,Ola de calor,Rodrigo el Biologo,[気温:きおん]も20[度以上上:ろどいじょうあ]がりそうです！,< 25 flora,,...,,-5,-5,-5,-10,,...,,-5,-5,-5,-10,,ウィリアムの[返答:へんとう]
Prevencion de incendios,Accidente por desprendimiento,Laura la arquitecto,それはひどいです！ [土砂崩:どしゃくず]れが[発生:はっせい]し、[一台車:いちだいしゃ]がひしゃげた。 みんなは[大丈夫:おおじょうおっと]だけど、みんなこれを[気:き]に[入:い]らないだろう...,ficha desprendimiento,,...,-10,-25,,,,,...,-10,-25,,,,,ウィリアムの[返答:へんとう]
Prevencion de incendios,Sequía,Eli agente forestal,[川:かわ]の[干: かん]ばつは[地域社会:ちいきしゃかい]を[心配:しんぱい]させているので、それと[戦:たたか]うために[資源: しげん]を[割:わ]り[当:あ]てるべきです。,< 25 aire,,,-25,5,10,5,10,,Seguro que no es para tanto,,-5,-20,-10,-20,,ウィリアムの[返答:へんとう]
,Desprendimientos,Laura la arquitecto,ロドリゴさんの[質問:しつもん],,,Pondremos mallas de contencion,-5,5,5,5,,,No pasara nada,,-20,-10,-10,,ficha desprendimiento,ウィリアムの[返答:へんとう]
,Fiesta en el bosque,Baltasar el empresario,ロドリゴさんの[質問:しつもん],,,En el bosque,,25,-15,-10,-15,,En el pueblo,-10,-20,10,10,10,,ウィリアムの[返答:へんとう]
,Energias,Laura la arquitecto,ロドリゴさんの[質問:しつもん],,,Solar,10,,-10,-5,5,,Tradicional,20,5,-10,-10,-15,,ウィリアムの[返答:へんとう]
,Campaña de reciclaje,Toni el activista,ロドリゴさんの[質問:しつもん],,,,-5,10,10,5,5,,,,-5,-10,-10,-10,,ウィリアムの[返答:へんとう]
,Expansion del pueblo,Toni el activista,ロドリゴさんの[質問:しつもん],,,Adelante,,-20,15,10,5,,,20,10,-10,-10,-5,,ウィリアムの[返答:へんとう]
,Turismo en masa,Baltasar el empresario,ロドリゴさんの[質問:しつもん],,,Bien,20,15,-10,-10,-15,,No lo creo,,-10,,,,,ウィリアムの[返答:へんとう]
,Especies protegidas,Rodrigo el Biologo,ロドリゴさんの[質問:しつもん],,,Te encargas,-10,,,15,,,,,,,-20,,,ウィリアムの[返答:へんとう]
,Carreteras,Laura la arquitecto,ロドリゴさんの[質問:しつもん],,,,10,10,-20,-20,-5,,Ni de broma,-5,,,,,,ウィリアムの[返答:へんとう]
,Carrera ciclista,Paqui Jefa de Medio Ambiente,ロドリゴさんの[質問:しつもん],,,Trae mi bici,-5,20,-5,-5,10,,,,-5,,,,,ウィリアムの[返答:へんとう]
,Prohibir el turismo,Rodrigo el Biologo,ロドリゴさんの[質問:しつもん],,,,-10,-5,5,5,5,,,5,5,-15,-5,-5,,ウィリアムの[返答:へんとう]
,Cultivos organicos,Faustino el agricultor,ロドリゴさんの[質問:しつもん],,,,-5,,10,,10,,,,5,,,-5,,ウィリアムの[返答:へんとう]
,Central nuclear,Baltasar el empresario,ロドリゴさんの[質問:しつもん],< 10 dinero,,,40,-5,-20,-5,-15,,,,5,,,,,ウィリアムの[返答:へんとう]
,Espacio verdes,Laura la arquitecto,ロドリゴさんの[質問:しつもん],,,,-5,5,5,,5,,Estamos rodeados de verde,,-10,,,-5,,ウィリアムの[返答:へんとう]
,Pescadores descontrolados,Eli agente forestal,ロドリゴさんの[質問:しつもん],,,,-5,-5,10,,5,,,5,5,-15,,-10,,ウィリアムの[返答:へんとう]
,Interes por la caza,Faustino el cazador,ロドリゴさんの[質問:しつもん],,,Sed responsables,10,5,,-20,,,Ni hablar,,-10,,5,,,ウィリアムの[返答:へんとう]
,Subvencion,Paqui Jefa de Medio Ambiente,ロドリゴさんの[質問:しつもん],,,Mola,,,20,5,10,,Nos quedamos el dinero,20,-20,-10,,,,ウィリアムの[返答:へんとう]
,Mucho trafico,Toni el activista,ロドリゴさんの[質問:しつもん],,,Podemos probar,-10,10,,,5,,,,-5,,,-5,,ウィリアムの[返答:へんとう]
,Explotar la pesca,Baltasar el empresario,ロドリゴさんの[質問:しつもん],,,,10,5,,-10,-5,,,,-5,,,5,,ウィリアムの[返答:へんとう]
,viva el aire ,Laura la arquitecto,ロドリゴさんの[質問:しつもん],,,,-20,10,5,-10,-5,,,,-5,,5,5,,ウィリアムの[返答:へんとう]
,Granja de credos,Faustino el agricultor,ロドリゴさんの[質問:しつもん],,,,10,5,-5,,-15,,,,-5,,,5,,ウィリアムの[返答:へんとう]
,Ataque de lobos,Eli agente forestal,ロドリゴさんの[質問:しつもん],,,Les creemos,-10,,,-10,,,Se lo han inventado,5,-5,,5,,,ウィリアムの[返答:へんとう]
,Solo hay pinos,Eli agente forestal,ロドリゴさんの[質問:しつもん],,,,-5,-5,15,,10,,Lo que diga el pueblo,5,5,-15,,,,ウィリアムの[返答:へんとう]
,Greenwashing,Toni el activista,ロドリゴさんの[質問:しつもん],ficha empresa,,Perfecto,10,,-10,,-10,,No me fio. Echales un ojo,-5,-5,10,,10,,ウィリアムの[返答:へんとう]
,Plantar en verano,Faustino el agricultor,ロドリゴさんの[質問:しつもん],,,,-5,,-10,,,,No es buena idea,,,10,,,,ウィリアムの[返答:へんとう]